City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
369,Ajdabiya,LY,79.61,clear sky,30.7554,20.2263,Almadina Hotel
370,Almeirim,BR,81.97,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
372,Tezu,IN,73.63,broken clouds,27.9167,96.1667,Circuit House
373,Teknaf,BD,78.82,broken clouds,20.8624,92.3058,Forestry Guesthouse
374,Sinnamary,GF,79.52,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
375,Omboue,GA,72.18,broken clouds,-1.5746,9.2618,Hotel Olako
376,Les Cayes,HT,84.58,scattered clouds,18.2,-73.75,Villa Orphee
380,Muli,MV,81.93,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
381,Dabola,GN,72.63,moderate rain,10.75,-11.1167,Hotel Tinkisso
382,Janauba,BR,72.57,clear sky,-15.8025,-43.3089,Ouro Norte Palace Hotel
383,Perigueux,FR,64.08,clear sky,45.1833,0.7167,Hôtel Mercure Périgueux Centre
385,Pemangkat,ID,77.29,overcast clouds,1.1667,108.9667,Ramah Kost KITA
386,Nuevitas,CU,83.64,overcast clouds,21.5453,-77.2644,Hotel Caonaba
387,Alibag,IN,77.07,light rain,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
390,Roblin,CA,68.02,scattered clouds,51.23,-101.3565,"Harvest Moon Inn, Roblin Manitboa"
391,Kysyl-Syr,RU,70.07,clear sky,63.8986,122.7617,
393,Sal Rei,CV,78.37,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
394,Bengkulu,ID,75.43,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
396,Lapeer,US,82.26,broken clouds,43.0514,-83.3188,"Holiday Inn Express Lapeer, an IHG Hotel"
398,Zhezkazgan,KZ,74.03,clear sky,47.8043,67.7144,Hotel Zumrat
401,Fuerte Olimpo,PY,83.66,clear sky,-21.0415,-57.8738,Hospedaje DAMI
402,Hajnowka,PL,62.02,overcast clouds,52.7433,23.5812,"Zajazd i Restauracja ""Wrota Lasu"""
404,Syracuse,IT,81.99,clear sky,37.0881,15.2792,Hotel Posta
405,Yablonovo,RU,63.03,moderate rain,50.8523,37.3574,
406,Huarmey,PE,65.82,broken clouds,-10.0681,-78.1522,Hotel Miramar
407,Marsh Harbour,BS,83.91,broken clouds,26.5412,-77.0636,Abaco Beach Resort
408,Ucluelet,CA,73.71,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
409,Trairi,BR,77.97,overcast clouds,-3.2778,-39.2689,janelas do mar
411,Nishihara,JP,80.65,scattered clouds,26.1842,127.7558,Minshuku Agaihama
412,Kattivakkam,IN,83.07,few clouds,13.2167,80.3167,Euronova Freezer
413,Ilhabela,BR,68.31,few clouds,-23.7781,-45.3581,Ilha Flat Hotel
415,Sirnak,TR,73.47,clear sky,37.5228,42.4594,Şehr-i Nuh Otel
418,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,900 Boutique INN
421,Peleduy,RU,62.24,light rain,59.6289,112.7406,Гостиница «Уют»
422,Novosergiyevka,RU,63.66,overcast clouds,52.0934,53.6528,Gostinichnyy Kompleks Edem
423,Frutal,BR,74.23,clear sky,-20.0247,-48.9406,Hotel Recanto Dos Ipês
424,Saint-Joseph,RE,64.78,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
428,Tynda,RU,67.86,clear sky,55.1667,124.7167,"Gostinitsa ""Tayezhnaya"""
429,Alghero,IT,75.29,clear sky,40.5589,8.3181,Smy Carlos V Alghero
432,Joshimath,IN,70.95,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
433,Sukhumi,GE,69.85,broken clouds,43.0033,41.0153,Leon Boutique Hotel
434,Panzhihua,CN,70.66,light rain,26.5851,101.7128,Electric Power Hotel
436,San Felipe,VE,78.15,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
438,Quatre Cocos,MU,68.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
439,Tarbes,FR,64.87,overcast clouds,43.25,0.1667,Quelle Vue (Gite Rural)
442,Bonthe,SL,75.88,broken clouds,7.5264,-12.505,Bonthe Holiday Village
443,Utrecht,NL,60.96,overcast clouds,52.0,5.25,Night Dijk
444,Alindao,CF,71.13,light rain,5.0267,21.2088,OCHA Alindao
445,Rocky Mountain House,CA,69.3,broken clouds,52.3668,-114.9188,Walking Eagle Inn & Lodge
446,Ungheni,MD,76.28,clear sky,47.2042,27.7958,Iri-Dana
447,Panlaitan,PH,82.85,overcast clouds,12.1191,119.8486,SOUTH BEACH
448,Novikovo,RU,63.95,light rain,51.1537,37.8879,
450,Puerto Quijarro,BO,82.89,clear sky,-17.7833,-57.7667,Hotel palance
451,Minna,NG,74.88,light rain,9.6139,6.5569,Royal Park hotel & suites
452,Banes,CU,84.61,few clouds,20.9625,-75.7186,Hostal Iván y yailet
453,Bandarbeyla,SO,76.3,scattered clouds,9.4942,50.8122,JABIR HOTEL
454,Mitsamiouli,KM,76.01,clear sky,-11.3847,43.2844,Foyer ADM
455,Mali,GN,61.12,light rain,12.079,-12.2982,Hotel La Dame de Mali
457,Eureka,US,73.2,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
458,Nisia Floresta,BR,79.18,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
459,Udachnyy,RU,68.45,overcast clouds,66.4167,112.4,Severnoye Siyaniye
460,Aykhal,RU,70.3,broken clouds,66.0,111.5,
461,Sardarpur,IN,72.27,broken clouds,22.678,74.9484,Shri Maya Lodge
462,Port Said,EG,80.58,clear sky,31.2565,32.2841,Aracan Hotel
464,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
465,Cotonou,BJ,77.23,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
466,Yingkou,CN,72.91,clear sky,40.6648,122.2283,Yingkou Juyin Junyue Hotel
470,Le Vauclin,MQ,84.25,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
471,Saint-Augustin,CA,67.55,broken clouds,51.226,-58.6502,
472,Koulamoutou,GA,72.03,overcast clouds,-1.1303,12.4736,Motel Bouenguidi
473,Alamosa,US,78.78,clear sky,37.4695,-105.87,Best Western Alamosa Inn
474,Half Moon Bay,US,84.42,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
475,Pangkalanbuun,ID,73.02,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
477,Muros,ES,66.09,clear sky,42.7762,-9.0603,Apartment Av. Castelao
478,Hualmay,PE,64.44,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
479,Abu Samrah,SY,77.4,clear sky,35.3029,37.1841,
482,Alihe,CN,66.07,moderate rain,50.5667,123.7167,Alihe Forestry Hotel
483,Tra Vinh,VN,76.8,overcast clouds,9.9347,106.3453,Hồng Ân
484,Bouna,CI,71.46,overcast clouds,9.2667,-3.0,Hôtel lababa
485,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
486,Nantucket,US,80.71,clear sky,41.2835,-70.0995,Jared Coffin House
489,Samarai,PG,79.11,scattered clouds,-10.6167,150.6667,Nuli Sapi
492,Wajir,KE,74.3,broken clouds,1.7471,40.0573,Mahatallah Hotel
493,Lagoa,PT,73.47,scattered clouds,39.05,-27.9833,Casa Das Faias
494,Strezhevoy,RU,60.85,overcast clouds,60.7333,77.5889,Sibiryachka
499,Qeshm,IR,84.09,heavy intensity rain,26.9581,56.2719,Qeshm Kavan Hotel
500,Gogaran,AM,60.64,scattered clouds,40.8926,44.1992,
501,Sasovo,RU,66.96,clear sky,54.3537,41.9199,Mini-gostinitsa
504,Omsukchan,RU,61.74,overcast clouds,62.5333,155.8,
505,Maceio,BR,74.64,overcast clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
506,Pennathur,IN,79.36,overcast clouds,12.25,79.2333,𝗠𝗲𝗿𝗿𝘆 𝗺𝗮𝘁𝗵𝗮 𝗸𝗼𝘃𝗶𝗹 𝘀𝘁𝗿𝗲𝗲𝘁
507,Margate,GB,63.3,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
510,Gushikawa,JP,80.6,clear sky,26.3544,127.8686,Kirari Guest House
511,Mirnyy,RU,71.24,clear sky,62.5353,113.9611,квартира
512,Karratha,AU,66.94,clear sky,-20.7377,116.8463,ibis Styles Karratha
514,Mocuba,MZ,62.98,overcast clouds,-16.8392,36.9856,Phama Lodge
515,Santa Maria,BR,67.3,clear sky,-29.6842,-53.8069,Hotel Morotin
518,Novopokrovka,UA,62.85,scattered clouds,49.8425,36.5477,Пудж дом
522,Musiri,IN,78.84,moderate rain,10.9333,78.45,HOTEL GATEWAY
524,Porto Torres,IT,75.38,clear sky,40.835,8.3972,Hotel Elisa
525,Poysdorf,AT,67.28,scattered clouds,48.6667,16.6333,Hotel & Restaurant Neustifter
528,Faya,SA,66.31,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
529,San Roque,ES,83.23,clear sky,36.2107,-5.3842,Hotel Guadacorte Park
530,San Javier,ES,83.46,broken clouds,37.8063,-0.8374,Hotel Mar Menor
531,Chateaudun,FR,67.95,scattered clouds,48.0833,1.3333,"Logis Hôtel ""Entre Beauce & Perche"""
532,Clyde,US,82.9,broken clouds,41.3042,-82.9752,Red Roof Inn Clyde
533,Okitipupa,NG,73.47,light rain,6.5047,4.7839,Coastal Hotel & Suites
